,,shortName,totalDebt,totalRevenue,revenueGrowth,operatingMargins,beta,regularMarketPrice,currency,industry,sector,country,longBusinessSummary
JRVR,quote_summary,"James River Group Holdings, Ltd",366355008,746203008,0.026,-0.113290004,0.488537,27.01,USD,Insurance—Specialty,Financial Services,Bermuda,"James River Group Holdings, Ltd., through its subsidiaries, provides specialty insurance and reinsurance services in the United States. It operates through Excess and Surplus Lines, Specialty Admitted Insurance, and Casualty Reinsurance segments. The Excess and Surplus Lines segment underwrites liability and property insurance on an excess and surplus commercial lines basis in all states and the District of Columbia. This segment distributes its insurance policies primarily through wholesale insurance brokers. The Specialty Admitted Insurance segment provides workers' compensation coverage for building trades, healthcare employees, goods and services, light manufacturing, specialty transportation, and agriculture, as well as fronting and program business. The Casualty Reinsurance segment offers proportional and working layer casualty reinsurance to third parties and other insurance companies. James River Group Holdings, Ltd. was founded in 2002 and is headquartered in Pembroke, Bermuda."
CCF,quote_summary,Chase Corporation,9185000,279123008,0.227,0.20501,0.733333,99.9,USD,Specialty Chemicals,Basic Materials,United States,"Chase Corporation, a specialty chemicals company, manufactures and sells protective materials for various applications worldwide. It operates through three segments: Adhesives, Sealants and Additives; Industrial Tapes; and Corrosion Protection and Waterproofing. The Adhesives, Sealants and Additives segment offers protective conformal and moisture protective electronic coatings; advanced adhesives, sealants, and coatings; polymeric microspheres; polyurethane dispersions; and superabsorbent polymers. The Industrial Tapes segment provides specialty tapes and related products; insulating and conducting materials; laminated durable papers; water-blocking compounds; laminated film foils and cover tapes; and pulling and detection tapes. The Corrosion Protection and Waterproofing segment offers protective pipe-coating tapes and other protectants; polymer additives; waterproofing membranes; waterproofing sealants, expansion joints, and accessories; technological products, and tapes and membranes; specialized high-performance coating and lining systems; waterproofing and corrosion protection systems; and bitumen pipeline protection tapes and products. The company sells its products through its salespeople, as well as manufacturers' representatives and distributors. Chase Corporation was founded in 1946 and is headquartered in Westwood, Massachusetts."
BZH,quote_summary,"Beazer Homes USA, Inc.",1124866048,2236108032,0.071,0.06123,2.006233,22.84,USD,Residential Construction,Consumer Cyclical,United States,"Beazer Homes USA, Inc. operates as a homebuilder in the United States. It designs, constructs, and sells single-family and multi-family homes under the Beazer Homes, Gatherings, and Choice Plans names. The company sells its homes through commissioned new home sales counselors and independent brokers in Arizona, California, Nevada, Texas, Delaware, Indiana, Maryland, Tennessee, Virginia, Florida, Georgia, North Carolina, and South Carolina. Beazer Homes USA, Inc. was founded in 1985 and is headquartered in Atlanta, Georgia."
GTS,quote_summary,Triple-S Management Corporation,49498000,4115219968,0.097,0.027,0.720519,35.66,USD,Healthcare Plans,Healthcare,United States,"Triple-S Management Corporation, through its subsidiaries, provides a portfolio of managed care and related products in the commercial, Medicare Advantage, and Medicaid markets. It operates through three segments: Managed Care, Life Insurance, and Property and Casualty Insurance. The company offers various managed care products, including health maintenance organization plans; preferred provider organization plans; BlueCard program; Medicare Supplement products; Medicare Advantage products; Medicaid plans; and claims processing and other administrative services to employers, individuals, and government entities. It also provides various life, accident, disability, and health insurance products, as well as annuity products primarily to individuals; and property and casualty insurance products comprising commercial multi-peril package, personal package, commercial auto, hospital malpractice, commercial liability, and commercial property primarily for small-to medium-size accounts. The company markets and distributes its products through a network of internal sales force, direct mail, independent brokers and agents, telemarketing staff, traditional media, and digital media. It holds rights to the Blue Cross and Blue Shield name and marks throughout Puerto Rico, the United States Virgin Islands, Costa Rica, the British Virgin Islands, and Anguilla. The company was founded in 1959 and is headquartered in San Juan, Puerto Rico."
NX,quote_summary,Quanex Building Products Corpor,106503000,1072148992,0.142,0.07718,1.548571,24.71,USD,Building Products & Equipment,Industrials,United States,"Quanex Building Products Corporation, together with its subsidiaries, provides components for the fenestration industry in the United States, Europe, Canada, Asia, and internationally. The company operates through three segments: North American Fenestration, European Fenestration, and North American Cabinet Components. It offers flexible insulating glass spacers, extruded vinyl profiles, window and door screens, and precision-formed metal and wood products, as well as cabinet doors and other components for original equipment manufacturers (OEMs) in the kitchen and bathroom cabinet industry. The company also provides various non-fenestration components and products, including solar panel sealants, trim moldings, vinyl decking, fencing, water retention barriers, and conservatory roof components. It sells its products to OEMs in the building products industry through sales representatives, direct sales force, distributors, and independent sales agents. The company was founded in 1927 and is based in Houston, Texas."
AHH,quote_summary,"Armada Hoffler Properties, Inc.",1055518976,312663008,-0.317,0.12708999,0.804155,15.19,USD,REIT—Diversified,Real Estate,United States,"Armada Hoffler Properties, Inc. (NYSE: AHH) is a vertically-integrated, self-managed real estate investment trust (""REIT"") with four decades of experience developing, building, acquiring, and managing high-quality, institutional-grade office, retail, and multifamily properties located primarily in the Mid-Atlantic and Southeastern United States. In addition to developing and building properties for its own account, the Company also provides development and general contracting construction services to third-party clients. Founded in 1979 by Daniel A. Hoffler, the Company has elected to be taxed as a REIT for U.S. federal income tax purposes."
OUST,quote_summary,"Ouster, Inc.",13317000,26294000,0.719,-2.53001,,5.32,USD,Electronic Components,Technology,United States,"Ouster, Inc. designs and manufactures digital lidar sensors for industrial automation, smart infrastructure, robotics, and automotive markets. Its product portfolio includes OS0, and ultra-wide view digital lidar; OS1, a mid-range digital lidar; OS2, a long-range digital lidar; and ES2 digital lidar. The company is based in San Francisco, California."
ACCO,quote_summary,Acco Brands Corporation,1323800064,1832499968,0.411,0.08311,2.203056,8.08,USD,Business Equipment & Supplies,Industrials,United States,"ACCO Brands Corporation designs, manufactures, and markets consumer, school, technology, and office products. It operates through three segments: ACCO Brands North America, ACCO Brands EMEA, and ACCO Brands International. The company provides computer and gaming accessories, calendars, planners, dry erase boards, school notebooks, and janitorial supplies; storage and organization products, such as three-ring and lever-arch binders, sheet protectors, and indexes; laminating, binding, and shredding machines; writing instruments and art products; stapling and punching products; and do-it-yourself tools. It offers its products under the AT-A-GLANCE, Barrilito, Derwent, Esselte, Five Star, Foroni, GBC, Hilroy, Kensington, Leitz, Marbig, Mead, NOBO, PowerA, Quartet, Rapid, Rexel, Swingline, Tilibra, TruSens, Spirax, and Wilson Jones brand names. The company markets and sells its products through various channels, including mass retailers; e-tailers; discount, drug/grocery, and variety chains; warehouse clubs; hardware and specialty stores; independent office product dealers; office superstores; wholesalers; contract stationers; and technology specialty businesses, as well as sells products directly to commercial and consumer end-users through its e-commerce platform and direct sales organization. ACCO Brands Corporation was founded in 1893 and is headquartered in Lake Zurich, Illinois."
CLNE,quote_summary,Clean Energy Fuels Corp.,76516000,223467008,-0.992,-0.40725,1.880423,6.5801,USD,Oil & Gas Refining & Marketing,Energy,United States,"Clean Energy Fuels Corp. provides natural gas as an alternative fuel for vehicle fleets and related fueling solutions, primarily in the United States and Canada. It supplies renewable natural gas (RNG), compressed natural gas (CNG), and liquefied natural gas (LNG) for light, medium, and heavy-duty vehicles; and offers operation and maintenance services for public and private vehicle fleet customer stations. The company also designs, builds, operates, and maintains fueling stations; sells and services compressors and other equipment that are used in fueling stations; and provides assessment, design, and modification solutions to offer operators with code-compliant service and maintenance facilities for natural gas vehicle fleets. In addition, it transports and sells CNG and LNG through virtual natural gas pipelines and interconnects; procures and sells RNG; sells tradable credits, such as RNG and conventional natural gas as a vehicle fuel comprising Renewable Identification Numbers and Low Carbon Fuel Standards credits; enables its customers to acquire and finance natural gas vehicles; and obtains federal, state and local credits, grants, and incentives. The company serves heavy-duty trucking, airports, refuse, public transit, industrial, and institutional energy users, as well as government fleets. As of December 31, 2020, it served approximately 1,000 fleet customers operating approximately 48,000 vehicles; and owned, operated, or supplied approximately 565 fueling stations in 39 states in the United States and 5 provinces in Canada. The company was incorporated in 2001 and is headquartered in Newport Beach, California."
CCSI,quote_summary,"Consensus Cloud Solutions, Inc.",45046000,700262016,0.07,0.33536,,59.12,USD,Software—Infrastructure,Technology,United States,"Consensus Cloud Solutions, Inc. provides information delivery services with a software-as-a-service platform worldwide. Its products and solutions include eFax, an online faxing solution, as well as MyFax and MetroFax, and other brands; eFax Corporate, a digital cloud-fax technology; jsign, a block-chain backed secure digital signature product; Consensus Unite, a single platform that allows the user to choose between several protocols to send and receive healthcare information in an environment that can integrate into an existing electronic health record (EHR) system or stand-alone if no EHR is present; and Consensus Signal, a solution that integrates with a hospital's EHR system and uses rules-based triggering logic to automatically send ADT notifications using cloud fax and direct secure messaging technology. It serves healthcare, education, law, and financial services industries. The company was incorporated in 2021 and is based in Los Angeles, California."
ARLO,quote_summary,"Arlo Technologies, Inc.",27175000,406199008,0.479,-0.15021,1.764892,10.325,USD,Security & Protection Services,Industrials,United States,"Arlo Technologies, Inc., together with its subsidiaries, provides smart connected devices to monitor the environments in real-time with a Wi-Fi or a cellular connection in the Americas, Europe, the Middle-East and Africa, and the Asia Pacific regions. It offers Arlo Q and Arlo Q Plus, an indoor wired solution that allow users to monitor their surroundings; Arlo Go, a LTE-enabled wire-free camera that provides untethered mobile security; Arlo Baby, a baby monitor with air quality and temperature sensors, motion and audio detection, and advanced night vision; Arlo Chime, a product that plugs into standard wall outlet and pairs with the Arlo Audio Doorbell to play various ringtones or act as a siren; and Arlo Ultra, an integrated spotlight and crystal-clear two-way audio with advanced noise cancellations camera. The company also offers Arlo Pro 3, an integrated spotlight with color night vision camera; Arlo Video Doorbell delivers direct-to-mobile video calls and personalized alerts; and Arlo Floodlight Camera, a wire-free variant LED camera, as well as Arlo Essential Spotlight; Arlo Ultra 2; and Arlo Essential XL Spotlight. In addition, it provides Arlo accessories, such as charging accessories, device mounts, and device skins; Arlo Essential Wire-Free Video Doorbell that joins a robust ecosystem of home security products and services; and Arlo Pro 4 Wire-Free Spotlight. Further, the company offers Arlo app for iOS and Android devices that allow users to connect various devices; and prepaid services, including seven-day cloud video storage with the ability to connect up to five cameras and 90 days of customer support. The company offers its products through retail channels, wholesale distribution and wireless carrier channels, and paid subscription services. Arlo Technologies, Inc. was incorporated in 2018 and is headquartered in San Jose, California."
BMTC,quote_summary,Bryn Mawr Bank Corporation,310200000,232936000,0.152,0.39953998,0.954814,45.48,USD,Banks—Regional,Financial Services,United States,"Bryn Mawr Bank Corporation operates as a bank holding company for The Bryn Mawr Trust Company that provides commercial and retail banking services to individual and business customers. It operates in two segments, Wealth Management and Banking. The company accepts deposit products, including interest-bearing demand accounts, wholesale time deposits, retail time deposits, savings accounts, noninterest-bearing deposits, money market accounts, and wholesale non-maturity deposits. It also provides commercial mortgages, home equity lines and loans, and residential mortgages, as well as construction, commercial and industrial, and consumer loans; and leasing services. In addition, the company offers wealth management services comprising trust administration and other related fiduciary, custody, investment management and advisory, employee benefits and IRA administration, estate settlement, financial planning, and brokerage services, as well as estate administration, retirement planning, and tax planning and preparation services. Further, it provides insurance and related products and services that include casualty, property, and allied insurance lines, as well as life insurance, annuities, medical insurance, and accident and health insurance for groups and individuals. Additionally, the company offers a small-ticket equipment financing service. It provides its services through 41 banking locations, seven wealth management offices, and two insurance and risk management locations in the Montgomery, Chester, Delaware, Philadelphia, and Dauphin Counties in Pennsylvania; New Castle County in Delaware; and Mercer and Camden Counties in New Jersey. Bryn Mawr Bank Corporation was founded in 1889 and is headquartered in Bryn Mawr, Pennsylvania."
CPF,quote_summary,Central Pacific Financial Corp ,147514000,259382000,0.506,0.37412,1.267012,27.86,USD,Banks—Regional,Financial Services,United States,"Central Pacific Financial Corp. operates as the holding company for Central Pacific Bank that provides commercial banking products and services to businesses, professionals, and individuals in the United States. The company operates through three segments: Banking Operations, Treasury, and All Others. It offers various deposit products and services, including personal and business checking and savings accounts, money market accounts, and time certificates of deposit. The company's lending activities comprise commercial loans, financial and agricultural loans, commercial mortgages, and construction loans to small and medium-sized companies, business professionals, and real estate investors and developers, as well as residential mortgages, home equity, and consumer loans to local homebuyers and individuals. It also provides debit cards, internet and mobile banking, cash management and electronic banking services, traveler's checks, safe deposit boxes, international banking services, night depository facilities, foreign exchange and wire transfers, trust services, retail brokerage, and wholesale funding services. In addition, the company offers wealth management products and services, including non-deposit investment products, annuities, insurance, investment management, asset custody, and general consultation and planning services. As of December 31, 2020, it operated 31 branches and 69 automated teller machines in the state of Hawaii. The company was founded in 1954 and is headquartered in Honolulu, Hawaii."
LPI,quote_summary,"Laredo Petroleum, Inc.",1328007040,906212992,1.662,-0.23834999,4.357142,63.02,USD,Oil & Gas E&P,Energy,United States,"Laredo Petroleum, Inc., an independent energy company, engages in the acquisition, exploration, and development of oil and natural gas properties in the Permian Basin of West Texas, the United States. It engages in the sale of oil, natural gas liquids, and natural gas. The company also engages in the integrated oil and natural gas gathering and transportation systems and related facilities; centralized oil storage tanks; natural gas lift, fuel for drilling, and completions activities; centralized compression infrastructure; and  water storage, recycling and transportation facilities. As of December 31, 2020, it had assembled 133,199 net acres in the Permian Basin; and had total proved reserves of 24,642 thousand barrels of oil equivalent. The company was formerly known as Laredo Petroleum Holdings, Inc. and changed its name to Laredo Petroleum, Inc. in December 2013. Laredo Petroleum, Inc. was incorporated in 2006 and is headquartered in Tulsa, Oklahoma."
RXT,quote_summary,"Rackspace Technology, Inc.",4161100032,2867599872,0.133,0.062280003,,14.21,USD,Software—Infrastructure,Technology,United States,"Rackspace Technology, Inc. operates as a multi cloud technology services company worldwide. It operates through Multicloud Services and Apps & Cross Platform segments. The company's Multicloud Services segment provides public and private cloud managed services, which allow customers to determine, manage, and optimize the right infrastructure, platforms, and services; and professional services related to designing and building multi cloud solutions and cloud-native applications. Its Apps & Cross Platform segment includes managed applications; managed security services in the areas of security threat assessment and prevention, threat detection and response, rapid remediation, governance, and risk and compliance assistance across multiple cloud platforms, as well as privacy and data protection services, including detailed access restrictions and reporting and data services; and professional services related to designing and implementing application, security, and data services. The company serves financial, government, healthcare, manufacturing, non-profit, education, consumer goods, oil and gas, media and entertainment, automotive and transportation, food and beverage, travel and hospitality, retail, and public sectors, as well as SaaS and ISV clients. Rackspace Technology, Inc. was founded in 1998 and is headquartered in San Antonio, Texas."
LBRT,quote_summary,Liberty Oilfield Services Inc.,265262000,2044632960,3.432,-0.074099995,2.845751,10.13,USD,Oil & Gas Equipment & Services,Energy,United States,"Liberty Oilfield Services Inc. provides hydraulic fracturing and wireline services, and related goods to onshore oil and natural gas exploration and production companies in North America. The company also offers hydraulic fracturing pressure pumping services, including pressure pumping and pumpdown perforating services; and operates two sand mines in the Permian Basin. As of December 31, 2020, it had a total of approximately 30 active frac fleets and 20 active wireline units. The company offers its services primarily in the Permian Basin, the Eagle Ford Shale, the Denver-Julesburg Basin, the Williston Basin, and the Powder River Basin. Liberty Oilfield Services Inc. was founded in 2011 and is headquartered in Denver, Colorado."
MNRL,quote_summary,"Brigham Minerals, Inc.",43000000,118422000,2,0.34238,2.362406,20.65,USD,Oil & Gas E&P,Energy,United States,"Brigham Minerals, Inc. owns and operates a portfolio of mineral and royalty interests in the continental United States. The company primarily holds mineral and royalty interests in the Permian Basin in West Texas and New Mexico; the South Central Oklahoma Oil Province and Sooner Trend Anadarko Basin Canadian and Kingfisher Counties plays in the Anadarko Basin of Oklahoma; the Denver-Julesburg Basin in Colorado; and Wyoming and the Williston Basin in North Dakota. As of December 31, 2020, it had mineral and royalty interests in approximately 61,000 net mineral acres; and owned mineral and royalty interests in 5,985 gross productive horizontal wells, which consisted of 5,398 oil wells and 587 natural gas wells. Brigham Minerals, Inc. was founded in 2012 and is based in Austin, Texas."
RICK,quote_summary,"RCI Hospitality Holdings, Inc.",152583008,169103008,2.93,0.22691,2.097707,72.8137,USD,Restaurants,Consumer Cyclical,United States,"RCI Hospitality Holdings, Inc., through its subsidiaries, engages in the hospitality and related businesses in the United States. The company operates through Nightclubs, Bombshells, and Other segments. It owns and/or operates upscale adult nightclubs serving primarily businessmen and professionals under the Rick's Cabaret, Jaguars Club, Tootsie's Cabaret, XTC Cabaret, Club Onyx, Hoops Cabaret and Sports Bar, Scarlett's Cabaret, Temptations Adult Cabaret, Foxy's Cabaret, Vivid Cabaret, Downtown Cabaret, Cabaret East, The Seville, Silver City Cabaret, and Kappa Men's Club. The company also operates restaurants and sports bars under the Bombshells Restaurant & Bar brand; and dance clubs under the Studio 80 brand. In addition, it owns two national industry trade publications serving the adult nightclubs industry and the adult retail products industry; a national industry convention and tradeshow; and two national industry award shows, as well as approximately a dozen industry and social media Websites. Further, RCI Hospitality Holdings, Inc. holds license to sell Robust Energy Drink in the United States. The company was formerly known as Rick's Cabaret International, Inc. and changed its name to RCI Hospitality Holdings, Inc. in August 2014. RCI Hospitality Holdings, Inc. was founded in 1983 and is based in Houston, Texas."
GES,quote_summary,"Guess?, Inc.",1203897984,2366364928,0.577,0.09203,2.168311,22.895,USD,Apparel Retail,Consumer Cyclical,United States,"Guess?, Inc. designs, markets, distributes, and licenses lifestyle collections of apparel and accessories for men, women, and children. It operates through five segments: Americas Retail, Americas Wholesale, Europe, Asia, and Licensing. The company's clothing collection includes jeans, pants, skirts, dresses, shorts, blouses, shirts, jackets, knitwear, and intimate apparel. It also grants licenses to design, manufacture, and distribute various products that complement its apparel lines, such as eyewear, watches, handbags, footwear, kids' and infants' apparel, outerwear, fragrance, jewelry, and other fashion accessories, as well as to certain wholesale partners to operate and sell products through licensed retail stores. The company markets its products under GUESS, GUESS?, GUESS U.S.A., GUESS Jeans, GUESS? and Triangle Design, MARCIANO, Question Mark and Triangle Design, a stylized G and a stylized M, GUESS Kids, Baby GUESS, YES, G by GUESS (GbG), GUESS by MARCIANO, and Gc brand names. It sells its products through direct-to-consumer, wholesale, and licensing distribution channels. As of January 30, 2021, the company directly operated 1,046 retail stores in the Americas, Europe, and Asia. Its partner's distributors operated an additional 524 retail stores worldwide. The company also offers its products through its retail websites. Guess?, Inc. was founded in 1981 and is headquartered in Los Angeles, California."
NFBK,quote_summary,"Northfield Bancorp, Inc.",511840000,166623008,0.453,0.51265,0.774017,16.36,USD,Banks—Regional,Financial Services,United States,"Northfield Bancorp, Inc. (Staten Island, NY) operates as the bank holding company for Northfield Bank that provides various banking services primarily to individuals and corporate customers. It accepts various deposits products, including certificates of deposit, passbook, statement, and money market savings accounts; transaction deposit accounts comprising negotiable orders of withdrawal accounts, and interest and non-interest bearing checking accounts; individual retirement accounts; and brokered deposits. The company also offers various loans comprising multifamily and other commercial real estate loans, construction and land loans, commercial and industrial loans, one-to-four family residential real estate loans, and home equity loans and lines of credit. In addition, it purchases various investment securities, such as mortgage-backed securities and corporate bonds; and deposits funds in other financial institutions, as well as holds mortgage loans, mortgage-backed securities, and other investments. As of February 24, 2021, the company operated 38 full-service banking offices in Staten Island and Brooklyn, New York; and Hunterdon, Middlesex, Mercer, and Union counties, New Jersey. Northfield Bancorp, Inc. (Staten Island, NY) was founded in 1887 and is based in Woodbridge, New Jersey."
HBNC,quote_summary,"Horizon Bancorp, Inc.",810564992,234019008,0.019,0.43235,1.195844,20.73,USD,Banks—Regional,Financial Services,United States,"Horizon Bancorp, Inc. operates as the bank holding company for Horizon Bank that provides a range of commercial and retail banking services. The company offers demand and time deposits. It also provides commercial, residential real estate, mortgage warehouse, and consumer loans. In addition, the company offers corporate and individual trust and agency, investment management, and real estate investment trust services; and sells various insurance products. It operates through a network of 73 full-service offices in northern and central Indiana and southern and central Michigan. Horizon Bancorp, Inc. was founded in 1873 and is headquartered in Michigan City, Indiana."
SWIM,quote_summary,"Latham Group, Inc.",234800992,603513024,0.27,-0.03582,,24.3069,USD,Building Products & Equipment,Industrials,United States,"Latham Group, Inc. designs, manufactures, and markets in-ground residential swimming pools. The company offers in-ground swimming pools, pool liners, and pool cover products. Latham Group, Inc. was formerly known as Latham Topco, Inc. and changed its name to Latham Group, Inc. in March 2021. Latham Group, Inc. was incorporated in 2018 and is based in Latham, New York."
VRAY,quote_summary,"ViewRay, Inc.",68347000,68189000,0.901,-1.46345,0.804155,5.48,USD,Medical Devices,Healthcare,United States,"ViewRay, Inc. designs, manufactures, and markets radiation therapy systems. The company offers MRIdian, a magnetic resonance image guided radiation therapy system to image and treat cancer patients. Its MRIdian integrates MRI technology, radiation delivery, and proprietary software to see the soft tissues, shape the dose to accommodate for changes in anatomy, and strike the target using real-time targeting throughout the treatment. The company serves university research and teaching hospitals, community hospitals, private practices, government institutions, and freestanding cancer centers. ViewRay, Inc. markets its MRIdian through a direct sales force and distribution network. It has operations in the United States, France, Germany, Taiwan, the United Kingdom, and internationally. The company was founded in 2004 and is headquartered in Oakwood, Ohio."
CRY,quote_summary,"CryoLife, Inc.",365039008,280262016,0.416,0.06105,1.568783,20.1719,USD,Medical Devices,Healthcare,United States,"CryoLife, Inc. manufactures, processes, and distributes medical devices and implantable human tissues worldwide. It offers BioGlue, a polymer consisting of bovine blood protein and an agent for cross-linking proteins for cardiac, vascular, pulmonary, and general surgical applications; On-X prosthetic aortic and mitral heart valve, and On-X ascending aortic prosthesis; cardiac preservation services; PhotoFix, a bovine pericardial patch; and E-vita OPEN PLUS and E-vita OPEN NEO, a hybrid stent graft system. The company also provides E-xtra DESIGN ENGINEERING products for the treatment of aortic vascular diseases; E-nside, an off-the-shelf stent graft for the treatment of thoraco-abdominal disease; E-vita THORACIC 3G for the endovascular treatment of thoracic aortic aneurysms; E-nya, a thoracic stent graft system for the minimally invasive repair of lesions of the descending aorta; E-ventus BX, a balloon-expandable peripheral stent graft for the endovascular treatment of renal and pelvic arteries; E-liac to treat aneurysmal iliac arteries, and aneurysmal iliac side branches; and E-tegra, an abdominal aortic aneurysms stent graft system. In addition, it offers synthetic vascular grafts for use in open aortic and peripheral vascular surgical procedures; PerClot, an absorbable powdered hemostat for use in surgical procedures; and cardiac laser therapy products, such as SolarGen 2100s Console and SoloGrip III disposable handpieces. Further, the company sells CryoVein femoral vein and CryoArtery femoral artery vascular preservation services; CarbonAid CO2 diffusion catheters and Chord-X ePTFE sutures for mitral chordal replacement; and ascyrus medical dissection stents, as well as offers pyrolytic carbon coating services to other medical device manufacturers. The company serves physicians, hospitals, and other healthcare facilities, as well as cardiac, vascular, thoracic, and general surgeons. CryoLife, Inc. was founded in 1984 and is headquartered in Kennesaw, Georgia."
RCKT,quote_summary,"Rocket Pharmaceuticals, Inc.",27726000,,,0,1.551948,24.09,USD,Biotechnology,Healthcare,United States,"Rocket Pharmaceuticals, Inc., together with its subsidiaries, operates as a multi-platform biotechnology company that focuses on developing gene therapies for rare and devastating pediatric diseases. It has four clinical-stage ex vivo lentiviral vector programs for fanconi anemia, a genetic defect in the bone marrow that reduces production of blood cells or promotes the production of faulty blood cells; leukocyte adhesion deficiency-I, a genetic disorder that causes the immune system to malfunction; pyruvate kinase deficiency, a rare red blood cell autosomal recessive disorder that results in chronic non-spherocytic hemolytic anemia; and infantile malignant osteopetrosis, a genetic disorder characterized by increased bone density and bone mass secondary to impaired bone resorption. The company also has a clinical stage in vivo adeno-associated virus program for Danon disease, a multi-organ lysosomal-associated disorder leading to early death due to heart failure. It has license agreements with Fred Hutchinson Cancer Research Center; Centro de Investigaciones EnergÃ©ticas, Medioambientales y TecnolÃ³gicas (CIEMAT), Centro de Investigacion Biomedica En Red, and Fundacion Instituto de investigacion Sanitaria Fundacion Jimenez Diaz; CIEMAT and UCL Business PLC; The Regents of the University of California; and REGENXBIO Inc. The company also has a research and collaboration agreement with Lund University; and strategic collaboration agreement with Stanford University School of Medicine. Rocket Pharmaceuticals, Inc. is headquartered in Cranbury, New Jersey."
VVI,quote_summary,Viad Corp,551603008,351670016,2.719,-0.26709,1.912727,42.2809,USD,Specialty Business Services,Industrials,United States,"Viad Corp operates as an experiential services company in the United States, Canada, the United Kingdom, continental Europe, the United Arab Emirates, and Iceland. It operates through three segments: GES North America, GES EMEA, and Pursuit. The company offers event accommodation solutions, including researching and selection of local hotels, negotiating and contracting, room block management, group reservation management, rate integrity and monitoring, marketing, on-site, and post-event reporting; and registration and data analytics comprising registration and ticketing, lead management, reporting and analytics, web-based enterprise-wide application, and software-as-a-service model or partial and fully managed options. It also provides event management tools, such as online ordering capabilities, sponsorship management solutions, content management systems, and live event tracking; and audio-visual, including video production, lighting design, digital studio, entertainment and talent coordination, projection mapping, and computer rental and support services. In addition, the company offers a collection of experiences in recreational attractions, unique hotels and lodges, food and beverage, retail, sightseeing, and ground transportation services. It serves event organizers and corporate brand marketers. Viad Corp was founded in 1926 and is headquartered in Scottsdale, Arizona."
BJRI,quote_summary,"BJ's Restaurants, Inc.",555201024,992774016,0.419,-0.02446,2.108571,35.775,USD,Restaurants,Consumer Cyclical,United States,"BJ's Restaurants, Inc. owns and operates casual dining restaurants in the United States. Its restaurants offer pizzas, craft and other beers, appetizers, entrÃ©es, pastas, sandwiches, specialty salads, and desserts. As of June 1, 2021, the company operated 212 casual dining restaurants in 29 states. BJ's Restaurants, Inc. was founded in 1978 and is headquartered in Huntington Beach, California."
FORR,quote_summary,"Forrester Research, Inc.",180190000,481108000,0.088,0.06964,1.007792,59.34,USD,Consulting Services,Industrials,United States,"Forrester Research, Inc. operates as an independent research and advisory services company in the United States and internationally. The company operates through Research, Consulting, and Events segments. Its primary subscription research product is Research, which offers clients with access to its research designed to inform their strategic decision-making. The company also provides Playbooks, a set of integrated reports and tools to tackle critical business initiatives; SiriusDecisions Research that delivers operational intelligence and fact-based insight to functional marketing, sales, and product leaders of business-to-business (B2B) organizations and their teams; and SiriusDecisions Command Center to offer performance benchmarking metrics in a self-service platform to aid sales, marketing, and product leaders in planning, uncovering new opportunities, and making business cases. In addition, it offers leadership boards that are peer groups for executives and other senior leaders at large organizations; executive programs with a trusted partner who help the executives and their teams establish and tackle their initiatives; and certification courses for leaders and their teams. Further, the company's analytics products and services include Customer Experience Index, a framework for assessing and measuring customer experience quality; Consumer Technographics, a quantitative research program; Business Technographics to provide assessments of what motivates businesses to choose certain technologies and vendors, as well as measures and reports on the current information consumption patterns of key influencers for technology purchases; and FeedbackNow, a customer experience cloud solution. Additionally, it offers advisory and project consulting services; and hosts various events. The company was incorporated in 1983 and is headquartered in Cambridge, Massachusetts."
LBAI,quote_summary,"Lakeland Bancorp, Inc.",390132992,264988000,0.326,0.49945,0.946493,18.7,USD,Banks—Regional,Financial Services,United States,"Lakeland Bancorp, Inc. operates as the bank holding company for Lakeland Bank that provides various banking products and services for individuals and small to medium sized businesses. The company offers commercial banking services, including savings, money market, and time accounts, as well as demand deposits; lending solutions, such as short and medium term loans, lines of credit, letters of credit, inventory and accounts receivable financing, real estate construction loans, mortgage loans, small business administration loans, commercial real estate loans, commercial and industrial loans, and equipment financing, as well as merchant credit card services; and internet banking, mobile banking, wire transfer, night depository, and cash management services. It also provides consumer banking services comprising checking accounts, savings accounts, money market accounts, certificates of deposit, secured and unsecured loans, consumer installment loans, mortgage loans, and safe deposit services. In addition, the company offers investment advisory services; and non-deposit products, which include securities brokerage services, including mutual funds and variable annuities, as well as commercial title insurance services and life insurance products. It operates 48 branch offices throughout Bergen, Essex, Morris, Ocean, Passaic, Somerset, Sussex, and Union counties in New Jersey and Highland Mills, New York; six New Jersey regional commercial lending centers in Bernardsville, Iselin, Jackson, Montville, Teaneck, and Waldwick; and one commercial lending center in New York to serve the Hudson Valley region. The company was founded in 1969 and is headquartered in Oak Ridge, New Jersey."
PLYM,quote_summary,"Plymouth Industrial REIT, Inc.",594241024,130006000,0.3,0.055180002,1.31025,30.21,USD,REIT—Industrial,Real Estate,United States,"Plymouth Industrial REIT, Inc. is a vertically integrated and self-managed real estate investment trust focused on the acquisition and operation of single and multi-tenant industrial properties located in secondary and select primary markets across the United States. The Company seeks to acquire properties that provide income and growth that enable the Company to leverage its real estate operating expertise to enhance shareholder value through active asset management, prudent property re-positioning and disciplined capital deployment."
